labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img05097.png,307.87086248092294,208.33683618903825,312.234111904487,213.1059692799106,313.55323382323894,209.04713260682774,330.701818767014,216.55598045203104,348.56070012857856,216.3530386183769,363.375453985331,215.6427422005874,,,,,,,,,,,,,490.8265139655842,212.12514576889353,83.24969810603191,204.54735636380227,287.3087413717042,24.845493328780492,290.5563654024576,410.7714823166435,,,262.2016589530234,206.48796541116303,289.5768030852639,189.1883951609277,291.28774959352893,233.86310954340354
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img05426.png,,,270.08445124026144,123.87614458637111,268.93209837439673,121.90068253060295,283.8303747116481,111.77643949479125,288.2751643371264,95.80812121066543,288.35747525611674,84.44921438999863,,,,,,,,,,,,,502.5932003702932,211.11544999606724,71.74174562367469,201.37257790380698,284.46111963802275,20.588173525200773,284.46111963802275,410.8443278874016,313.88292220984346,208.62665802801516,261.87917340614194,208.91556774359128,287.8810478079927,187.82515850653456,290.48123524817777,236.65090043889876
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img05768.png,275.3088292257943,311.5153119356928,274.9335565599481,316.26876570307735,278.31101055256346,315.39312948276967,284.5655549833326,337.03385321323094,287.6928271987171,353.2956687332307,288.4433725304094,360.0505767184614,422.67254897747716,336.9759210726085,,,,,,,,,,,501.1567963873511,210.85985454501784,75.17677768686278,205.988418498888,285.1897983422497,27.910367479242755,288.9786930447953,411.6712737799369,312.63624430904275,209.56342471256949,263.0187955693568,207.66237303671943,286.5918363498973,189.4122769485591,287.1621518526523,237.31877917998003
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img05876.png,272.41465491889255,198.2274245025455,272.71906766937377,203.70685401120735,275.7631951741859,201.98184842514715,283.1705721025621,217.20248594920784,293.1147219516151,232.9304780574039,294.33237295353996,243.1790406569381,,,,,,,,,,,,,499.4394630891191,208.50101255059377,70.21182035787736,202.0057644890876,285.6375477311866,25.55152548481887,287.80263041835553,410.9362438008897,314.8432260779529,208.10134203606316,259.9448108451167,209.48922332003934,288.01085458774645,191.138348565243,287.85664555619354,238.48052125198654
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img05915.png,117.79297380237657,214.46009465736844,122.97856169876795,217.09404406505928,123.06087261775828,214.54240557635876,142.65087133745902,215.85938028020422,162.15855913816938,216.76480038909793,173.6820877968169,215.77706936121388,,,,,,,,,,,,,497.212209246992,209.30190087218398,80.43379196697171,203.3479234824694,289.3642712787741,22.5635191038632,288.2817299351896,413.90221480964857,315.90741507365703,207.64155859971743,263.90366626995547,208.79719746202187,287.5942629471973,191.46261452745475,289.61663095623015,235.37689129502488
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img06001.png,,,,,257.5626174366946,239.96874709386972,271.5656039588305,228.29959165875653,256.649379185251,211.75983221594387,241.02285799388198,208.41129196065052,,,,,,,,,,,,,490.88271951163085,207.30926200075504,79.9163819849606,199.84512980208683,284.5214175484524,29.048222432562557,289.3511501475906,414.98776376369847,313.0098977106195,210.5055456011007,,,286.0588373469889,193.6318382430016,287.23062258019024,238.15967710465202
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img06261.png,282.1201441620192,273.9421440801822,279.36814461248076,278.3203251817206,283.2459621595576,278.19523429310516,283.12087127094225,298.20977647156644,283.7463257140192,316.9734097638739,283.99650749124993,329.10722595956605,,,,,,,,,,,,,504.76689785146993,208.76350437937413,73.37417243305921,202.80952698965956,282.8459224166539,22.566393282845496,287.717358462784,411.74000630146196,315.5223137993365,206.9882847817884,264.09638442678715,206.41046535063617,288.65371025075734,191.0982504251018,288.9426199663335,237.32380491728094
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img06968.png,300.51321252074814,242.6315151442956,295.8869415741608,238.15945322926123,294.0364331955259,241.55205192342524,279.23236616644647,230.91162874627443,264.27409010581414,221.04225072688814,255.32996627574533,215.64493462253628,,,,,,,,,,,,,497.87248527889847,212.63819497636845,78.3877146399169,203.97786422769252,286.7769232799271,25.3585425362553,290.56581798247277,412.3670728677028,315.039610274301,209.94577404764857,263.90259061732786,209.65686433207247,289.90446501917864,191.16664253520082,,
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img07078.png,309.65609165067616,228.4085812336053,306.91637689634524,225.5673955624473,305.69872589442036,228.91593581774066,291.6957393722845,224.8570991446578,276.37363093139675,231.2497669047633,266.6324229159979,232.16300515620694,,,,,,,,,,,,,493.7323481475761,211.50468651065802,79.66028422651685,203.92689710556675,284.8018688357737,28.013928773090655,288.5907635383193,410.6922937302002,313.34373164353536,208.16902233741519,261.6351260604144,210.45028434843522,286.91911334921986,191.62987275751988,286.72900818163487,238.77595431860078
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img07222.png,,,302.2605254534052,187.78053407134593,305.5128885574052,187.65544318273052,304.2619796712513,207.92016713842258,298.88307146078984,228.18488345917268,291.1274363666361,232.06270100624957,,,,,,,,,,,,,488.5210239185195,209.91870959274596,82.56802007434382,203.4234615312397,282.8381686374705,24.804139839802083,290.957228714354,409.6475874840807,315.63212735242183,208.51163152725726,263.9172882642964,207.93381209610504,287.60788494153826,191.17704859269008,289.34134323499495,237.4026030848692
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img07359.png,,,290.4377576446286,21.915924302086008,293.3804142326137,22.524749803048437,287.3936301398165,42.71746225163564,285.7700954705833,63.92488464265521,285.262740886448,70.82490698689605,,,,,,,,,,,,,502.10239920774245,211.13594916915335,77.74619252263084,204.09943043585457,284.40194636918335,24.108655242725096,288.7165472657289,413.2607383783319,312.1364370968473,209.43408160487513,261.28095797590976,211.54329502463753,287.06023310633896,191.15423196693445,288.9350894794611,238.72871243490835
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img07752.png,104.39728134033315,202.58773281950175,102.52091801110241,210.34336791365547,108.02491711017926,209.21754991611704,,,,,,,,,,,,,,,,,,,496.7564077176197,209.3662973478304,86.84221671397347,202.99074507847317,286.23674589182156,24.661988235040386,287.55394569158653,415.8703287652361,314.38075197568674,207.14145132599373,263.5252728547491,208.31323655919505,286.72662047213544,191.20517215445568,288.60147684525754,235.26429692282557
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img09157.png,311.63095946015386,238.91962798822772,307.67359370389806,235.06373314879897,,,313.9647905471765,219.23427012377587,329.99719540585374,211.92836411222672,339.0281070034631,210.00041669251237,,,,,,,,,,,,,490.1790555950123,211.82134174680985,78.27207436112204,204.7848230135117,282.3311176267943,22.917877291320586,290.99144837547016,412.63276924086546,312.7307690846344,207.50352538192288,263.98450338345924,209.14402470840474,288.5919932806871,192.73903144358616,288.3576362340468,239.14172667835868
labeled-data,12024-03-12T122545356-1T-EPM-M19-MG,img09659.png,,,,,,,294.45091944669366,120.79142058352798,277.94202051741286,136.30485944175786,273.3758292601947,145.53871287302132,,,,,,,,,,,,,495.6696059508617,207.6917742435152,78.89118867084129,200.6552555102145,286.197855967267,22.577204490570242,288.36293865443594,412.29208818097896,314.3861888317275,206.4085480027441,263.24789875136156,206.78875833791415,290.4329377160171,188.9188725849238,289.10220154292205,234.73421797290968
